id,name,location,room_info,floor,direction,area,price,avg_price,history,title,labels,timestamp
S3048167234117636,康宁坊,徐汇 康健 浦北路21弄,2室1厅1卫,低层(共6层),南北,56.68㎡,440万,77629元/㎡,1991年建造,交通便利 购物方便 近医院 满五   南北通透 正规商品房,"['南北', '满五年', '近地铁']",2024-06-07 15:52:19
S3048168293883909,康桥月苑(北区),浦东 周浦 康佳路39弄,1室1厅1卫,高层(共6层),南北,57.5㎡,221.6万,38540元/㎡,2010年建造,业主老客户|房子已定|顶楼带阁楼|满五送装修|原始一改两房,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:19
S3048168310104074,陆家嘴新景园(二期),浦东 金杨新村 云山路1039弄,3室2厅1卫,中层(共6层),南北,113.09㎡,730万,64551元/㎡,2002年建造,内环旁 可接受置换 必卖盘 全天接待看房 业主很性情,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:36:54
S3048170261044233,上钢七村,浦东 世博 上钢七村1-92号,2室1厅1卫,中层(共6层),东南,50.25㎡,240万,47762元/㎡,1985年建造,长清路地铁旁，双轨交汇，精装修，非户籍单身可买，   购房,"['东南', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:39
S3048172175023113,保利御樽苑(公寓住宅),"浦东 唐镇 唐兴路373弄,唐镇路138弄,唐兴路191弄",3室2厅2卫,中层(共12层),南北,145.39㎡,750万,51586元/㎡,2011年建造,带地下车位，满五  税少，业主诚心急售，可以接受置换，近公园,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:07
S3048172852043783,梅园新村(浦东),"浦东 梅园 梅园新村1-92号,栖霞路296号",2室0厅1卫,低层(共6层),南,46.28㎡,380万,82109元/㎡,1989年建造,建平西校好房推荐 梅园新村双南满五 看房随时诚意出售,"['南', '热门小区', '近地铁', '房东急售']",2024-06-07 16:37:07
S3048172966765582,天安花园,浦东 联洋 锦绣路800弄,2室2厅1卫,低层(共18层),南北,97.38㎡,1120万,115014元/㎡,2001年建造,天安花园 环境优美 精装修 南北通透 电梯房 交通便捷,"['南北', '近地铁', '价格优惠', '随时可看']",2024-06-07 16:37:04
S3048177088961536,长兴坊,徐汇 上海师大 桂林西街15弄1-85号,2室1厅1卫,中层(共6层),南北,58.88㎡,323万,54858元/㎡,1992年建造,老业主精装修 小区位置 楼层佳 家电全送 上海师大   急售,"['热门小区', '南北通透', '满五']",2024-06-07 15:34:30
S3048177094204423,东方城市公寓,浦东 洋泾 苗圃路60弄,3室2厅2卫,低层(共23层),南北,146.15㎡,1180万,80739元/㎡,2006年建造,06年商品房，在售中间楼层南北通三房两卫，看房有钥匙,"['南北', '近地铁', '满五', '房东急售']",2024-06-07 16:37:07
S3048178073149452,通联苑(二期),浦东 金杨新村 博山东路188弄,3室2厅2卫,高层(共11层),南,140㎡,1000万,71429元/㎡,2002年建造,电梯高区，固定车位，第二排位置，不靠马路，已打新，必看好房,"['南', '热门小区', '配套成熟']",2024-06-07 16:37:07
